sqldate,eventcode,actor1name,actor2name,sourceurl,qwen_just_URL
20210101,130,GERMANY,,https://www.e110.de/terrorakte-vielleicht-verhindert/,"- Sentiment: unclear
- Reason: URL suggests potential prevention of terrorist acts, but context is ambiguous."
20220101,43,,CHILE,http://www.funkuhr.de/fernsehprogramm/sendungsdetails/169446982/pumas-in-der-wildnis-patagoniens.html,"- Sentiment: neutral
- Reason: URL describes a TV show about pumas in Patagonia, no clear sentiment."
20220101,112,,CRIMINAL,https://www.brasil247.com/brasil/bolsonaro-e-eleito-corrupto-do-ano-por-consorcio-internacional,"- Sentiment: negative
- Reason: URL indicates Bolsonaro being labeled as 'corrupt', negative connotation."
20220101,46,,AUTHORITIES,https://ria.ru/20220102/status-1766397981.html,"- Sentiment: unclear
- Reason: URL does not provide enough context for sentiment analysis."
20220101,110,,PRIME MINISTER,https://www.aftenposten.no/verden/i/OrevnE/foerste-nyttaarsdag-ble-det-registrert-over-160000-koronatilfeller-i-en,"- Sentiment: negative
- Reason: High number of COVID cases reported, indicating severe health situation."
20220101,190,,PRESIDENT,https://alquds.com/2022/01/01/%D8%A5%D8%B5%D8%A7%D8%A8%D8%A7%D8%AA-%D8%AE%D9%84%D8%A7%D9%84-%D9%85%D9%88%D8%A7%D8%AC%D9%87%D8%A7%D8%AA-%D9%81%D9%8A-%D8%A8%D8%B1%D9%82%D8%A9/,"- Sentiment: unclear
- Reason: URL does not provide clear sentiment indicators."
20220101,42,,ITALIAN,https://www.interris.it/copertina/perno-opbg-omicron-bambini/,"- Sentiment: unclear
- Reason: URL does not provide clear sentiment indicators."
20220101,51,,WORKER,https://www.franceguyane.fr/actualite/social/mobilisation-sociale-a-pointe-a-pitre-elie-domota-a-ete-arrete-493999.php,"- Sentiment: negative
- Reason: Social unrest and arrest suggest conflict and tension."
20220101,51,,WORKER,https://www.franceguyane.fr/actualite/social/mobilisation-sociale-a-pointe-a-pitre-elie-domota-a-ete-arrete-493999.php,"- Sentiment: negative
- Reason: URL mentions arrest in social mobilization, indicating conflict."
20220101,1823,,MILITARY,https://www.franceguyane.fr/actualite/france/feminicides-deux-hommes-en-garde-a-vue-le-jour-du-nouvel-an-494064.php,"- Sentiment: negative
- Reason: URL mentions 'feminicides' and 'arrests', indicating serious criminal events."
20220101,43,,POLE,https://as.com/futbol/2022/01/01/primera/1641057005_745473.html,"- Sentiment: unclear
- Reason: URL does not provide clear sentiment indicators."
20220101,51,,SAUDI ARABIA,https://www.okaz.com.sa/news/na/2092790,"- Sentiment: unclear
- Reason: URL does not provide enough information to infer sentiment."
20220101,51,,SAUDI ARABIA,https://www.okaz.com.sa/news/na/2092790,"- Sentiment: unclear
- Reason: URL does not provide enough information to infer sentiment."
20220101,20,,INTELLIGENCE,https://www.diariolaprovinciasj.com/elpais/2022/1/1/cuales-son-los-sectores-que-tendran-mayor-demanda-laboral-en-2022-165873.html,"- Sentiment: neutral
- Reason: URL discusses job demand sectors, no clear positive or negative indicators."
20220101,42,,VENEZUELAN,https://noticias.uol.com.br/ultimas-noticias/efe/2022/01/01/chanceler-venezuelano-pede-que-bolsonaro-aprove-transferencia-de-migrantes.htm,"- Sentiment: neutral
- Reason: URL does not provide clear emotional tone or specific positive/negative outcome."
20220101,20,,BASQUE,https://omirante.pt/cavaleiro-andante/2022-01-01-Em-Abrantes-nada-como-dantes-a2fb5365,"- Sentiment: neutral
- Reason: URL does not provide clear positive or negative indicators."
20220101,50,,CATALAN,https://sport1.oslobodjenje.ba/s1/fudbal/ino-fudbal/primera/postigao-dogovor-sa-kataloncima-barcelona-sljedeceg-ljeta-dobija-veliko-pojacanje-721568,"- Sentiment: positive
- Reason: Barcelona signing strong players, indicating team strengthening."
20220101,51,,INDIGENOUS,https://g1.globo.com/mundo/noticia/2022/01/01/a-epidemia-de-desaparecimentos-de-indigenas-que-intriga-os-eua.ghtml,"- Sentiment: neutral
- Reason: URL describes a news article about missing indigenous people, no clear sentiment."
20220101,51,,INDIGENOUS,https://g1.globo.com/mundo/noticia/2022/01/01/a-epidemia-de-desaparecimentos-de-indigenas-que-intriga-os-eua.ghtml,"- Sentiment: negative
- Reason: Epidemic of disappearances, indicates serious issue."
20220101,161,MADEIRA,,https://www.akhbarona.com/last/340605.html,"- Sentiment: unclear
- Reason: URL does not provide context or content information."
20220101,112,BRAZIL,CRIMINAL,https://www.brasil247.com/brasil/bolsonaro-e-eleito-corrupto-do-ano-por-consorcio-internacional,"- Sentiment: negative
- Reason: Bolsonaro being elected 'Corrupt of the Year' indicates negative sentiment."
20220101,112,BRAZIL,CRIMINAL,https://www.brasil247.com/brasil/bolsonaro-e-eleito-corrupto-do-ano-por-consorcio-internacional,"- Sentiment: negative
- Reason: Bolsonaro being elected 'Corrupt of the Year' indicates negative sentiment."
20220101,100,BUSINESS,,https://pronedra.ru/znaki-vostochnogo-kalendarya-po-godu-rozhdeniya-kotorym-povezet-v-2022-godu-628853.html,"- Sentiment: positive
- Reason: Title suggests fortune for certain zodiac signs in 2022."
20220101,90,COMPANY,ADMINISTRATION,https://www.republika.co.id/berita/r520kx430/jepang-bantu-perusahaan-bill-gates-bangun-reaktor-nuklir,"- Sentiment: neutral
- Reason: URL indicates news about Japan aiding Bill Gates' nuclear reactor project."
20220101,112,COMPANIES,REPRESENTATIVES,https://www.alarab.com/Article/1018144,"- Sentiment: unclear
- Reason: URL does not provide enough information to infer sentiment."
20220101,60,SWITZERLAND,,https://evz.ro/sinuciderea-asistata-este-acum-legala-austria-este-tara-care-a-decis-sa-curme-suferintele-bolnavilor.html,"- Sentiment: neutral
- Reason: URL describes a legal change, not expressing clear positive or negative stance."
20220101,81,SWITZERLAND,,https://evz.ro/sinuciderea-asistata-este-acum-legala-austria-este-tara-care-a-decis-sa-curme-suferintele-bolnavilor.html,"- Sentiment: neutral
- Reason: URL describes legal change, no clear positive or negative tone."
20220101,42,CHILE,,http://www.funkuhr.de/fernsehprogramm/sendungsdetails/169446982/pumas-in-der-wildnis-patagoniens.html,"- Sentiment: neutral
- Reason: URL describes a TV show about pumas in Patagonia, no clear sentiment."
20220101,54,CHINA,EMBASSY,https://gordonua.com/news/worldnews/kitay-otkryl-posolstvo-v-nikaragua-posle-vozobnovleniya-diplomaticheskih-otnosheniy-1589047.html,"- Sentiment: positive
- Reason: China opening embassy indicates improved diplomatic relations."
20220101,20,COLOMBIA,COLOMBIA,https://www.colombia.com/actualidad/nacionales/12415-contagios-por-la-covid-19-registra-colombia-en-el-primer-dia-del-ano-2022-333346,"- Sentiment: negative
- Reason: Reports high number of COVID-19 cases, indicating poor health situation."
20220101,180,PRISON,,https://pronedra.ru/zaprety-i-primety-rozhdestvenskogo-sochelnik-chto-gotovyat-v-prazdnik-628846.html,"- Sentiment: neutral
- Reason: URL describes Christmas Eve traditions, no clear positive or negative indicators."
20220101,30,PRISON,ACADEMICS,https://www.notigape.com/trabajara-gobierno-municipal-por-bienestar-y-progreso-en-2022/243835,"- Sentiment: positive
- Reason: URL suggests focus on well-being and progress, indicating positive outlook."
20220101,173,POLICE,FRANCE,https://www.franceguyane.fr/actualite/social/mobilisation-sociale-a-pointe-a-pitre-elie-domota-a-ete-arrete-493999.php,"- Sentiment: negative
- Reason: Social unrest and arrest indicated, suggesting conflict."
20220101,186,PERPETRATOR,BAMAKO,http://malijet.com/les_faits_divers_au_mali/265488-commissariat-de-police-du-11eme-arrondissement-fin-de-course-pou.html,"- Sentiment: unclear
- Reason: URL does not provide clear sentiment indicators."
20220101,10,COMMUNITY,,https://www.lopinionista.it/fico-ringrazia-mattarella-120130.html,"- Sentiment: positive
- Reason: Fico thanking Mattarella suggests a positive interaction."
20220101,111,RESIDENTS,,https://g1.globo.com/sp/piracicaba-regiao/noticia/2022/01/01/biblioteca-municipal-de-limeira-oferece-oficinas-gincana-show-e-sarau-durante-as-ferias-escolares.ghtml,"- Sentiment: positive
- Reason: Community library offers engaging activities for school holidays."
20220101,1723,POPULATION,,https://gordonua.com/news/worldnews/vo-francii-v-novogodnyuyu-noch-sozhgli-874-mashiny-mvd-1589046.html,"- Sentiment: negative
- Reason: News about 874 cars being burned on New Year's night."
20220101,80,ACTOR,,https://www.interris.it/rubriche/opinione/affrontare-questioni-pressanti-luce-dottrina-sociale-chiesa/,"- Sentiment: neutral
- Reason: URL suggests an opinion piece, but topic is not clearly positive or negative."
20220101,833,EUROPE,,https://www.brasil247.com/blog/brasil-para-principiantes,"- Sentiment: unclear
- Reason: URL does not provide specific content or context for sentiment analysis."
